Total_Duration_Minute,Total_Distance,Number_Of_Stops
165.0,111,6
185.0,158,5
185.0,158,5
355.0,275,15
365.0,275,15
700.0,1517,66
885.0,1521,64
1000.0,691,42
1080.0,692,42
925.0,658,33
920.0,658,33
340.0,275,11
365.0,275,11
740.0,419,49
765.0,419,45
1015.0,697,19
945.0,698,19
315.0,210,6
310.0,210,6
695.0,403,12
585.0,424,12
575.0,472,21
600.0,472,21
275.0,229,14
290.0,229,14
1010.0,680,30
1125.0,681,30
135.0,112,2
135.0,112,2
270.0,222,12
305.0,222,12
275.0,222,11
280.0,222,11
865.0,1627,89
1000.0,1627,91
865.0,740,16
905.0,741,16
105.0,78,2
110.0,78,2
835.0,545,44
860.0,546,45
25.0,871,82
135.0,871,84
840.0,618,17
905.0,619,17
1120.0,785,22
1185.0,786,22
1055.0,716,34
1010.0,716,34
680.0,473,20
705.0,473,20
845.0,692,24
825.0,692,24
940.0,734,25
1005.0,734,25
1285.0,1978,96
1250.0,1979,97
465.0,350,14
465.0,350,15
845.0,618,19
890.0,618,19
740.0,564,14
785.0,565,14
850.0,542,16
765.0,542,16
580.0,427,12
535.0,426,12
985.0,589,33
1015.0,589,33
855.0,606,15
840.0,618,15
265.0,1462,22
245.0,1463,22
985.0,569,27
1015.0,568,27
905.0,625,22
860.0,626,21
295.0,228,10
280.0,228,10
705.0,1698,67
700.0,1699,63
435.0,223,9
350.0,223,9
555.0,264,20
475.0,264,20
235.0,108,15
245.0,108,15
550.0,305,29
490.0,305,29
65.0,1245,28
160.0,1246,28
65.0,1198,24
160.0,1199,24
445.0,271,21
415.0,271,21
350.0,242,24
360.0,242,24
760.0,487,32
735.0,485,35
1340.0,969,41
1360.0,967,44
305.0,193,12
355.0,193,12
1135.0,971,8
1080.0,971,8
20.0,1112,51
15.0,1113,52
350.0,198,12
325.0,197,12
410.0,295,10
425.0,292,10
235.0,198,17
240.0,198,17
775.0,1600,74
630.0,1600,71
485.0,331,20
510.0,328,20
380.0,290,11
365.0,290,11
620.0,367,22
490.0,367,22
400.0,208,9
435.0,208,9
840.0,493,32
735.0,493,32
535.0,2535,96
455.0,2534,97
425.0,230,28
385.0,230,28
895.0,572,26
815.0,575,26
330.0,231,17
345.0,231,17
570.0,1399,63
565.0,1399,61
570.0,399,18
630.0,399,18
870.0,659,16
890.0,660,16
395.0,239,18
415.0,239,18
290.0,224,11
305.0,224,11
650.0,1748,18
695.0,1749,18
980.0,2141,30
1045.0,2130,30
330.0,1405,24
400.0,1405,24
425.0,329,15
400.0,329,15
570.0,1447,65
565.0,1447,63
395.0,330,18
395.0,323,18
480.0,379,14
480.0,372,14
815.0,641,15
860.0,643,15
1245.0,859,24
1215.0,861,22
210.0,166,9
200.0,166,9
485.0,471,2
440.0,471,2
335.0,1418,23
350.0,1418,23
120.0,1182,41
320.0,1183,43
290.0,1235,34
335.0,1236,34
500.0,410,9
540.0,410,9
795.0,627,15
845.0,627,15
265.0,1218,35
305.0,1219,36
290.0,1282,36
335.0,1283,36
1370.0,2478,18
35.0,2479,18
440.0,291,18
445.0,291,18
895.0,653,32
910.0,653,30
575.0,495,19
665.0,495,20
660.0,338,20
670.0,338,20
430.0,237,13
430.0,237,13
400.0,2578,62
285.0,2579,61
400.0,263,20
388.0,263,20
335.0,269,14
345.0,269,15
255.0,208,13
300.0,208,13
305.0,213,12
265.0,213,12
580.0,360,15
545.0,360,16
840.0,724,15
900.0,724,15
410.0,263,10
420.0,263,10
515.0,335,11
495.0,335,11
305.0,246,15
325.0,246,15
410.0,202,15
355.0,202,15
630.0,429,13
705.0,478,13
775.0,629,30
790.0,629,24
320.0,197,11
320.0,197,11
350.0,301,14
390.0,301,14
735.0,614,11
775.0,614,11
825.0,659,16
750.0,659,16
225.0,194,8
240.0,194,8
260.0,188,18
270.0,191,18
360.0,254,12
405.0,255,12
250.0,200,11
265.0,200,11
1160.0,875,41
1095.0,875,40
375.0,301,12
450.0,301,12
315.0,203,9
305.0,203,9
305.0,276,13
340.0,276,12
880.0,558,48
915.0,558,45
975.0,793,32
1020.0,793,34
420.0,319,8
1325.0,845,49
1280.0,845,51
760.0,460,41
740.0,460,40
280.0,1226,30
195.0,1228,30
480.0,1543,46
475.0,1540,45
445.0,1592,26
540.0,1591,27
340.0,257,16
315.0,257,16
280.0,1165,30
50.0,1168,30
1360.0,1021,19
5.0,1020,19
210.0,1409,46
210.0,1407,45
140.0,71,6
105.0,71,6
1215.0,722,36
1165.0,722,36
255.0,201,10
290.0,201,10
635.0,523,13
665.0,523,13
575.0,479,10
630.0,479,10
345.0,286,11
355.0,286,12
1095.0,773,29
